+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
| Sam Houston State          |    0.31705 |     112 |   -1.89693 |      199 |
| Vermont                    |   0.311939 |     113 |    7.87514 |       67 |
| Northern Iowa              |   0.298358 |     114 |    5.04083 |       98 |
| William & Mary             |   0.283139 |     115 |  0.0164968 |      165 |
| Texas Tech                 |   0.278652 |     116 |    6.63705 |       82 |
| Miami (FL)                 |   0.277749 |     117 |    6.59278 |       83 |
| Wake Forest                |   0.262826 |     118 |    2.05366 |      136 |
| Western Kentucky           |   0.262062 |     119 |  -0.822913 |      180 |
| South Dakota State         |   0.246178 |     120 |    3.95688 |      112 |
| Seton Hall                 |   0.244629 |     121 |     6.3366 |       85 |
| Utah State                 |    0.23844 |     122 |    2.36944 |      133 |
| Penn State                 |   0.237579 |     123 |    6.08365 |       86 |
| Vanderbilt                 |   0.228425 |     124 |    2.78745 |      123 |
| Robert Morris              |   0.220018 |     125 |   -1.57488 |      192 |
| VMI                        |   0.215358 |     126 |   -3.47419 |      226 |
| American                   |   0.215133 |     127 |    4.22951 |      106 |
| Purdue                     |    0.19842 |     128 |    5.72295 |       88 |
| Fresno State               |   0.196666 |     129 |    3.00887 |      121 |
| Drexel                     |   0.196378 |     130 |   0.887199 |      153 |
| Pacific                    |   0.189157 |     131 |  0.0478475 |      164 |
| Illinois State             |   0.183334 |     132 |    1.08584 |      150 |
| Northwestern               |   0.179196 |     133 |    2.71555 |      124 |
| Davidson                   |   0.177192 |     134 |    3.93861 |      113 |
| Wyoming                    |   0.177091 |     135 |    3.00946 |      120 |
| Texas A&M                  |   0.174362 |     136 |    2.47271 |      131 |
| Notre Dame                 |   0.163986 |     137 |    4.95801 |       99 |
| Holy Cross                 |   0.163353 |     138 |    1.36456 |      146 |
| Utah Valley                |    0.15485 |     139 |   -1.84165 |      197 |
| Butler                     |   0.154616 |     140 |     5.4282 |       94 |
| Murray State               |   0.144921 |     141 |    1.10952 |      149 |
| Morehead State             |   0.139847 |     142 |   -1.14788 |      186 |
| Alabama                    |   0.134465 |     143 |    5.54185 |       90 |
| Columbia                   |   0.132568 |     144 |    2.45368 |      132 |
| Houston                    |   0.129081 |     145 |    1.54164 |      144 |
| Stony Brook                |   0.127703 |     146 |   0.590584 |      156 |
| Denver                     |   0.111359 |     147 |    2.22694 |      135 |
| Wright State               |   0.109574 |     148 |    2.50457 |      130 |
| Nevada                     |   0.101994 |     149 |      1.614 |      142 |
| Georgia Tech               |   0.101713 |     150 |    3.30782 |      117 |
| Hawaii                     |  0.0891742 |     151 |     1.4806 |      145 |
| Arkansas State             |  0.0811402 |     152 |   0.522978 |      160 |
| Rhode Island               |  0.0771141 |     153 |    4.09258 |      109 |
| Pepperdine                 |  0.0746971 |     154 |  -0.195745 |      169 |
| South Carolina             |  0.0727346 |     155 |    3.34574 |      116 |
| Alabama-Birmingham         |  0.0701743 |     156 |  -0.644277 |      177 |
| San Diego                  |  0.0622783 |     157 |    1.57632 |      143 |
| Charlotte                  |  0.0590014 |     158 |   -2.25463 |      203 |
| Auburn                     |  0.0538313 |     159 |     2.5996 |      128 |
| Florida Gulf Coast         |  0.0453981 |     160 |  -0.300162 |      170 |
| DePaul                     |  0.0419716 |     161 |  -0.325243 |      172 |
| Wofford                    |  0.0339004 |     162 |  -0.832811 |      181 |
| Northwestern State         |  0.0280006 |     163 |  -0.540815 |      175 |
| Valparaiso                 |  0.0099001 |     164 |    0.72349 |      154 |
| Miami (OH)                 |  0.0095351 |     165 |   -2.58716 |      206 |
| Portland                   | 0.00948892 |     166 |    3.29435 |      118 |
| Yale                       | 0.00892263 |     167 |   -0.06062 |      167 |
| Southern                   | 0.00694834 |     168 |   -2.13154 |      202 |
| Drake                      |  0.0030138 |     169 |   -2.04553 |      201 |
| Weber State                | -0.0101037 |     170 |   0.313941 |      162 |
| Oral Roberts               | -0.0246566 |     171 |   -1.59674 |      193 |
| Bucknell                   | -0.0322836 |     172 |   0.538779 |      158 |
| Wagner                     | -0.0386724 |     173 |    -0.6554 |      178 |
| Long Beach State           | -0.0435492 |     174 |    1.95549 |      138 |
| South Carolina Upstate     | -0.0447347 |     175 |  -0.628476 |      176 |
| Elon                       | -0.0483182 |     176 |   -2.99241 |      218 |
| George Mason               |  -0.051322 |     177 |    1.76299 |      141 |
| Bryant                     | -0.0557648 |     178 |   -2.43416 |      204 |
| St. Francis (NY)           | -0.0649793 |     179 |   -2.01603 |      200 |
| Colorado State             | -0.0667145 |     180 |     1.9258 |      139 |
| Loyola Marymount           | -0.0674302 |     181 |   -1.47416 |      190 |
| Duquesne                   | -0.0720388 |     182 |    2.26064 |      134 |
| Old Dominion               | -0.0753081 |     183 |   -1.78222 |      196 |
| Siena                      | -0.0778143 |     184 |  -0.101769 |      168 |
| Hampton                    | -0.0876804 |     185 |   -2.62121 |      208 |
| Southern California        |    -0.0891 |     186 |   0.376992 |      161 |
| Kent State                 | -0.0928608 |     187 |     -1.388 |      189 |
| Nebraska-Omaha             | -0.0956321 |     188 |  -0.420421 |      173 |
| Arkansas-Little Rock       |  -0.107634 |     189 |   -3.31012 |      225 |
| Albany (NY)                |  -0.109654 |     190 | -0.0500451 |      166 |
| Northern Illinois          |  -0.109912 |     191 |   -1.62483 |      194 |
| Mount St. Mary's           |  -0.117877 |     192 |   -1.52576 |      191 |
| Texas-Arlington            |  -0.124898 |     193 |   -3.08521 |      221 |
| Incarnate Word             |  -0.126957 |     194 |   -5.90316 |      272 |
| Winthrop                   |  -0.127934 |     195 |   -4.16218 |      238 |
| Oakland                    |  -0.137933 |     196 |   -1.11991 |      185 |
| Southern Illinois          |  -0.148198 |     197 |   0.974391 |      151 |
| Rider                      |  -0.161075 |     198 |   -2.77159 |      212 |
| North Florida              |  -0.163391 |     199 |   -5.59489 |      269 |
| North Texas                |  -0.165685 |     200 |   -5.15211 |      255 |
| Santa Clara                |   -0.16914 |     201 |    1.32132 |      148 |
| High Point                 |  -0.175959 |     202 |   -5.27506 |      259 |
| Radford                    |  -0.176249 |     203 |   -5.42109 |      265 |
| Texas Southern             |   -0.18348 |     204 |   -3.65952 |      229 |
| Evansville                 |  -0.183692 |     205 |     -3.254 |      222 |
| Grand Canyon               |  -0.183759 |     206 |   -4.24417 |      239 |
| Montana                    |  -0.186226 |     207 |   -3.04627 |      219 |
| Coastal Carolina           |  -0.191092 |     208 |   -4.14672 |      237 |
| Brown                      |  -0.191908 |     209 |   0.526126 |      159 |
| Texas A&M-Corpus Christi   |  -0.197665 |     210 |    -3.4755 |      227 |
| Florida International      |  -0.198071 |     211 |   -3.89708 |      231 |
| Lipscomb                   |  -0.200979 |     212 |   -6.11432 |      275 |
| Tulane                     |  -0.201064 |     213 |   -8.26363 |      287 |
| Washington State           |  -0.209588 |     214 |  -0.759402 |      179 |
| Youngstown State           |  -0.210189 |     215 |  -0.991637 |      184 |
| Bowling Green State        |  -0.211446 |     216 |   -2.66747 |      209 |
| East Tennessee State       |  -0.212218 |     217 |   -4.44973 |      244 |
| Central Florida            |  -0.223735 |     218 |   0.953241 |      152 |
| Tennessee Tech             |   -0.22803 |     219 |   -5.98505 |      274 |
| Southeast Missouri State   |  -0.230455 |     220 |   -3.80912 |      230 |
| North Carolina-Asheville   |  -0.234218 |     221 |   -4.06023 |      236 |
| Northern Colorado          |  -0.235291 |     222 |   -3.30566 |      224 |
| Saint Peter's              |  -0.236416 |     223 |   -2.59622 |      207 |
| Norfolk State              |   -0.23891 |     224 |   -4.43024 |      243 |
| Mississippi State          |  -0.243884 |     225 |   -2.85036 |      213 |
| Western Carolina           |  -0.244757 |     226 |   -4.03184 |      235 |
| Texas Christian            |  -0.249799 |     227 |   -2.98692 |      217 |
| Morgan State               |  -0.251621 |     228 |   -3.05705 |      220 |
| Fordham                    |  -0.254725 |     229 |   -2.68203 |      210 |
| East Carolina              |  -0.258532 |     230 |   -3.98958 |      233 |
| Detroit Mercy              |  -0.261672 |     231 |    -1.2258 |      187 |
| Alabama State              |   -0.26459 |     232 |   -9.19916 |      301 |
| Gardner-Webb               |  -0.268283 |     233 |   -4.31824 |      242 |
| Cal Poly                   |  -0.268745 |     234 |  -0.887931 |      182 |
| North Dakota               |   -0.27164 |     235 |   -4.63913 |      252 |
| Temple                     |  -0.273998 |     236 |   0.277456 |      163 |
| Rutgers                    |  -0.283484 |     237 |  -0.508987 |      174 |
| Hartford                   |  -0.291795 |     238 |   -2.97321 |      216 |
| South Florida              |  -0.300128 |     239 |   -1.87223 |      198 |
| Idaho                      |  -0.318143 |     240 |   -4.61765 |      251 |
| Chattanooga                |  -0.321107 |     241 |    -6.9574 |      280 |
| Boston College             |  -0.327122 |     242 |    1.77978 |      140 |
| Army                       |  -0.331054 |     243 |   -2.85701 |      214 |
| Marist                     |  -0.332463 |     244 |   -1.37198 |      188 |
| Northeastern               |  -0.334478 |     245 |   -2.49508 |      205 |
| College of Charleston      |  -0.335819 |     246 |   -1.63509 |      195 |
| Louisiana-Monroe           |  -0.338962 |     247 |   -4.45871 |      245 |
| James Madison              |  -0.342685 |     248 |   -5.24601 |      258 |
| Cal State Northridge       |    -0.3548 |     249 |   -2.76299 |      211 |
| Lehigh                     |  -0.355002 |     250 |   -4.72379 |      253 |
| Nicholls State             |  -0.359546 |     251 |   -8.84799 |      294 |
| South Dakota               |    -0.3611 |     252 |   -4.55817 |      246 |
| Air Force                  |  -0.375373 |     253 |   -4.56623 |      247 |
| Bradley                    |  -0.392019 |     254 |   -2.95321 |      215 |
| Eastern Washington         |  -0.395473 |     255 |   -4.03065 |      234 |
| SIU Edwardsville           |  -0.404251 |     256 |   -8.32136 |      289 |
| Northern Arizona           |   -0.40599 |     257 |   -5.33419 |      262 |
| Portland State             |   -0.43214 |     258 |   -5.40828 |      264 |
| Chicago State              |  -0.456577 |     259 |   -8.07293 |      285 |
| Virginia Tech              |  -0.467096 |     260 |  -0.931157 |      183 |
| Colgate                    |  -0.467207 |     261 |  -0.302104 |      171 |
| Missouri-Kansas City       |  -0.469855 |     262 |   -6.47148 |      277 |
| New Orleans                |  -0.473035 |     263 |   -11.3386 |      324 |
| Arkansas-Pine Bluff        |  -0.497111 |     264 |   -10.9991 |      319 |
| Alabama A&M                |  -0.503098 |     265 |   -9.24818 |      304 |
| Seattle                    |  -0.518312 |     266 |   -4.58578 |      249 |
| McNeese State              |  -0.522953 |     267 |   -9.20296 |      302 |
| Dartmouth                  |  -0.543549 |     268 |   -3.26003 |      223 |
| Cal State Bakersfield      |  -0.545015 |     269 |   -3.62592 |      228 |
| Lafayette                  |  -0.547687 |     270 |   -4.30006 |      240 |
| Sacramento State           |  -0.560899 |     271 |   -5.32324 |      261 |
