+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
| Notre Dame                 |   0.163986 |     137 |    4.95801 |       99 |
| Mississippi                |   0.434288 |     100 |    4.93883 |      100 |
| Belmont                    |   0.663357 |      65 |    4.78483 |      101 |
| Canisius                   |   0.458814 |      94 |    4.43217 |      102 |
| Delaware                   |   0.711164 |      56 |    4.33841 |      103 |
| Princeton                  |   0.375101 |     106 |    4.28681 |      104 |
| Texas-El Paso              |   0.441568 |      96 |    4.23463 |      105 |
| American                   |   0.215133 |     127 |    4.22951 |      106 |
| La Salle                   |   0.359052 |     108 |    4.14588 |      107 |
| Western Michigan           |   0.667305 |      64 |    4.11305 |      108 |
| Rhode Island               |  0.0771141 |     153 |    4.09258 |      109 |
| Toledo                     |   0.984191 |      35 |    4.08164 |      110 |
| Boston University          |   0.493013 |      87 |    4.01945 |      111 |
| South Dakota State         |   0.246178 |     120 |    3.95688 |      112 |
| Davidson                   |   0.177192 |     134 |    3.93861 |      113 |
| Louisiana-Lafayette        |   0.475198 |      91 |    3.93399 |      114 |
| California-Santa Barbara   |   0.459247 |      93 |    3.74701 |      115 |
| South Carolina             |  0.0727346 |     155 |    3.34574 |      116 |
| Georgia Tech               |   0.101713 |     150 |    3.30782 |      117 |
| Portland                   | 0.00948892 |     166 |    3.29435 |      118 |
| Indiana State              |   0.668914 |      63 |    3.21481 |      119 |
| Wyoming                    |   0.177091 |     135 |    3.00946 |      120 |
| Fresno State               |   0.196666 |     129 |    3.00887 |      121 |
| Ohio                       |   0.580851 |      76 |     2.9437 |      122 |
| Vanderbilt                 |   0.228425 |     124 |    2.78745 |      123 |
| Northwestern               |   0.179196 |     133 |    2.71555 |      124 |
| Towson                     |   0.439065 |      99 |    2.70442 |      125 |
| Eastern Michigan           |   0.433297 |     101 |    2.66093 |      126 |
| Eastern Kentucky           |   0.480191 |      89 |    2.64171 |      127 |
| Auburn                     |  0.0538313 |     159 |     2.5996 |      128 |
| IPFW                       |   0.420693 |     102 |    2.51023 |      129 |
| Wright State               |   0.109574 |     148 |    2.50457 |      130 |
| Texas A&M                  |   0.174362 |     136 |    2.47271 |      131 |
| Columbia                   |   0.132568 |     144 |    2.45368 |      132 |
| Utah State                 |    0.23844 |     122 |    2.36944 |      133 |
| Duquesne                   | -0.0720388 |     182 |    2.26064 |      134 |
